AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
138.95,139.8,138.82,139.01,14375609.0,175.89,176.0,174.8,175.03,2397866.0,64.26,65.085,64.25,64.99,16415680.0
138.74,138.79,137.05,138.68,17114537.0,175.7,175.85,174.8152,175.37,2119192.0,65.19,65.2,64.48,64.74,15773803.0
139.25,139.3571,138.64,139.15,15691521.0,176.0,176.14,174.45,175.12,2809065.0,65.1,65.26,64.75,64.95,15541488.0
138.85,139.43,138.82,139.19,12632553.0,175.29,175.6,174.69,175.5,2188805.0,65.01,65.195,64.57,64.71,12765595.0
139.3,139.65,138.84,138.98,12271676.0,175.22,175.43,174.23,174.71,2049023.0,64.53,64.55,64.15,64.39,10680941.0
139.41,140.7501,139.025,140.45,19589428.0,174.95,175.08,173.77,174.63,2926888.0,64.5,64.92,64.25,64.73,14088987.0
140.72,141.02,140.26,140.69,15847046.0,175.15,175.43,173.7,173.96,2228567.0,64.75,64.76,64.3,64.64,17178605.0
141.0,141.0,139.89,139.91,24755469.0,173.89,173.89,172.32,172.69,4125010.0,64.87,65.24,64.68,64.85,34569346.0
140.4,141.5,140.23,141.49,16443665.0,172.3,172.868,171.6,172.04,2185046.0,64.91,65.175,64.72,64.93,10023933.0
142.11,142.8,139.73,139.85,33192511.0,172.38,172.44,169.03,169.47,3521703.0,65.19,65.5,64.13,64.21,21579747.0
139.845,141.6,139.76,141.43,21608322.0,169.27,170.04,168.02,169.22,2375663.0,64.23,65.14,64.12,65.05,15890185.0
141.26,141.5844,140.61,140.92,17016586.0,169.66,171.36,169.21,169.845,2264044.0,64.94,65.235,64.765,64.87,15290037.0
141.39,141.74,140.35,140.63,17897125.0,170.45,170.45,168.02,168.72,2962038.0,65.17,65.45,64.76,64.99,18510319.0
139.39,141.22,138.62,140.88,18364935.0,166.89,167.5103,165.8,167.41,3530283.0,64.63,65.22,64.35,65.1,13401435.0
140.91,144.04,140.62,143.81,27907420.0,167.34,168.612,166.36,168.35,3481554.0,64.96,65.47,64.65,65.29,15775649.0
143.68,144.49,143.19,144.16,23204631.0,168.0,168.3,166.44,166.54,2806602.0,65.12,65.5,64.9475,65.48,11090707.0
144.19,144.5,143.5,143.92,16322791.0,166.44,167.69,166.0,167.37,2614910.0,65.42,65.98,65.36,65.71,12851700.0
